sessionID,iterations,time,cpu,cpuID,value,point,findType,functionType,particlesNum
597be4cb86b85aff0630,10000,38165,4,0,-0.0022490651824029384,"(0.9526282129988788,0.9072773759488169)",ITERATION_LIMIT,Rosenbrock,100
597be4cb86b85aff0630,10000,38190,4,1,-0.007527905876002214,"(0.9132517745384031,0.8338659769409521)",ITERATION_LIMIT,Rosenbrock,100
597be4cb86b85aff0630,10000,38083,4,2,-17.584175752757538,"(5.193263514142869,26.97266333972711)",ITERATION_LIMIT,Rosenbrock,100
8361e096ce26e45d2df3,34,171,4,2,-0.00009090498358490362,"(1.0094155669819005,1.019069856249153)",FIND_OPTIMUM,Rosenbrock,100
8361e096ce26e45d2df3,28,150,4,3,-0.000038606819330825885,"(1.0025343824053454,1.0056424949218723)",FIND_OPTIMUM,Rosenbrock,100
8361e096ce26e45d2df3,10000,39699,4,0,-0.11634893326754088,"(0.6590600164254761,0.43331674113528273)",ITERATION_LIMIT,Rosenbrock,100
8361e096ce26e45d2df3,10000,39707,4,1,-1.7328649589785994,"(2.316084908298657,5.3670519317983825)",ITERATION_LIMIT,Rosenbrock,100
6021a65fc9b02111eab2,22,120,4,1,-0.00005250573438634882,"(0.9943462840648021,0.9891777569764983)",FIND_OPTIMUM,Rosenbrock,100
facffd028a7b904dcb0c,19,123,4,1,-0.000009851613741342956,"(0.9989689570234231,0.9982354322215994)",FIND_OPTIMUM,Rosenbrock,100
facffd028a7b904dcb0c,24,120,4,2,-0.00008648895017480756,"(0.9932084482534789,0.9870983465993434)",FIND_OPTIMUM,Rosenbrock,100
facffd028a7b904dcb0c,10000,38210,4,0,-15.85377351486406,"(3.879376137516795,15.324567699359577)",ITERATION_LIMIT,Rosenbrock,100
facffd028a7b904dcb0c,10000,38178,4,3,-5.491201322500786,"(3.3433187153864647,11.178546326463339)",ITERATION_LIMIT,Rosenbrock,100
da9f6b07413a4c7b897e,28,201,4,1,-0.000040343545380082895,"(1.0040065187203207,1.0075362270443011)",FIND_OPTIMUM,Rosenbrock,100
da9f6b07413a4c7b897e,10000,38417,4,0,-0.0006072746940524652,"(1.0246292665402892,1.0499472267092806)",ITERATION_LIMIT,Rosenbrock,100
da9f6b07413a4c7b897e,10000,38455,4,2,-0.4366530054130281,"(1.660634367980194,2.7591736007615038)",ITERATION_LIMIT,Rosenbrock,100
da9f6b07413a4c7b897e,10000,38418,4,3,-20.281014651444345,"(5.503441219347804,30.28842948281563)",ITERATION_LIMIT,Rosenbrock,100
d046a0fd3df218702bbc,31,137,2,0,-0.00006082577128982214,"(0.9925506065327196,0.9849257886153606)",FIND_OPTIMUM,Rosenbrock,100
d046a0fd3df218702bbc,24,117,2,1,-0.000037494750961641034,"(1.0040706220974551,1.0077003779701632)",FIND_OPTIMUM,Rosenbrock,100
99315037d90a0e4b7d87,25,118,2,0,-0.00008431334633205658,"(1.0013498908704812,1.0036098502838886)",FIND_OPTIMUM,Rosenbrock,100
99315037d90a0e4b7d87,46,201,2,1,-0.000050930928644012235,"(0.9957436731797324,0.9909326222926894)",FIND_OPTIMUM,Rosenbrock,100
3849a4f2df451090a7e0,10000,37976,2,0,-21.523506640468543,"(-3.6391262159386817,13.247728037369534)",ITERATION_LIMIT,Rosenbrock,100
3849a4f2df451090a7e0,10000,38003,2,1,-2.932367460614989,"(2.7121240569249006,7.3587770810222)",ITERATION_LIMIT,Rosenbrock,100
9ea142f9e1a1bcb66a83,21,108,2,1,-0.00009781582741056458,"(1.0019390149628473,1.0048516146806026)",FIND_OPTIMUM,Rosenbrock,100
9ea142f9e1a1bcb66a83,10000,38295,2,0,-0.0007176886184609588,"(1.0267654016714882,1.0543612905439699)",ITERATION_LIMIT,Rosenbrock,100
